model,pixels,image,true,predicted,cdiff
ResNet,1,9523,5,8,0.0029999912
ResNet,1,3719,5,8,0.0016496032
ResNet,1,8301,5,8,0.0017919913
ResNet,1,6764,5,8,0.0023051426
ResNet,1,4273,5,8,0.0019444749
ResNet,1,8173,5,2,0.0024259165
ResNet,1,7503,8,5,0.0015729517
ResNet,1,6220,2,8,0.0017922297
ResNet,1,4551,5,2,0.001542151
ResNet,1,178,5,8,0.0013353452
ResNet,1,9889,8,5,0.0017323121
ResNet,1,132,8,5,0.0017354339
ResNet,1,1988,5,8,0.0019504428
ResNet,1,7655,8,5,0.0018181875
ResNet,1,1863,5,2,0.0017605722
ResNet,1,9918,5,8,0.0014634058
ResNet,1,7392,8,5,0.0023202002
ResNet,1,1116,5,8,0.0017261207
ResNet,1,9477,5,8,0.0014474392
ResNet,1,4576,4,8,0.00208465
ResNet,1,749,5,8,0.0021113902
ResNet,1,1863,5,2,0.0017443225
ResNet,1,6238,8,5,0.0022179782
ResNet,1,4232,5,8,0.0019354895
ResNet,3,9523,5,8,0.0033355653
ResNet,3,3719,5,8,0.0030896962
ResNet,3,1759,5,2,0.0035814047
ResNet,3,8301,5,8,0.002188094
ResNet,3,6764,5,8,0.003475152
ResNet,3,4273,5,8,0.002996564
ResNet,3,8173,5,2,0.004011996
ResNet,3,7503,8,5,0.0025998205
ResNet,3,7358,8,5,0.0025459528
ResNet,3,6220,2,8,0.0032227933
ResNet,3,810,5,8,0.003362149
ResNet,3,4551,5,2,0.0020942017
ResNet,3,178,5,8,0.0021571442
ResNet,3,818,8,6,0.0034941956
ResNet,3,7433,5,8,0.0029980317
ResNet,3,2927,8,5,0.003723152
ResNet,3,9889,8,5,0.003193207
ResNet,3,132,8,5,0.002976574
ResNet,3,9939,5,8,0.0036621764
ResNet,3,1988,5,8,0.0043947697
ResNet,3,7655,8,6,0.0037161931
ResNet,3,3749,8,5,0.0031161755
ResNet,3,1863,5,2,0.0026872233
ResNet,3,3749,8,5,0.004820481
ResNet,3,9918,5,8,0.00400424
ResNet,3,7392,8,5,0.0030438676
ResNet,3,1116,5,8,0.0018593147
ResNet,3,7977,8,5,0.0031856224
ResNet,3,9477,5,8,0.0027473718
ResNet,3,4576,4,8,0.0032235533
ResNet,3,2910,8,5,0.0051323026
ResNet,3,749,5,8,0.0034837723
ResNet,3,8268,5,8,0.0026351511
ResNet,3,5076,5,8,0.0035747066
ResNet,3,1863,5,2,0.002614066
ResNet,3,6238,8,5,0.0029888675
ResNet,3,4232,5,8,0.0027265921
ResNet,5,9523,5,8,0.0032911375
ResNet,5,3719,5,8,0.0028393045
ResNet,5,5625,5,6,0.0020969436
ResNet,5,1759,5,2,0.0034004226
ResNet,5,8301,5,8,0.002431959
ResNet,5,6764,5,8,0.00427752
ResNet,5,4273,5,8,0.0023056343
ResNet,5,8173,5,2,0.0038004443
ResNet,5,7503,8,5,0.0026525185
ResNet,5,7358,8,5,0.002019763
ResNet,5,6220,2,8,0.0028013736
ResNet,5,810,5,8,0.0042491853
ResNet,5,4551,5,2,0.002820246
ResNet,5,178,5,8,0.001647979
ResNet,5,7433,5,8,0.0024490654
ResNet,5,2927,8,5,0.003205672
ResNet,5,9889,8,5,0.0026302263
ResNet,5,132,8,5,0.0029758886
ResNet,5,1988,5,8,0.0041387156
ResNet,5,7655,8,5,0.0023516044
ResNet,5,3749,8,5,0.002667129
ResNet,5,1863,5,2,0.0030844882
ResNet,5,7798,5,8,0.0030858666
ResNet,5,3749,8,5,0.0033097118
ResNet,5,9918,5,8,0.0036189705
ResNet,5,3571,5,8,0.0027240068
ResNet,5,7392,8,5,0.0028558373
ResNet,5,1116,5,8,0.002221778
ResNet,5,7977,8,5,0.0036242455
ResNet,5,9477,5,8,0.0032957569
ResNet,5,4576,4,8,0.0034878403
ResNet,5,749,5,8,0.003455557
ResNet,5,8268,5,8,0.0021179095
ResNet,5,1863,5,8,0.0022997633
ResNet,5,6238,8,5,0.002596788
ResNet,5,4232,5,8,0.0031936318
