model,pixels,image,true,predicted,cdiff
resnet_masked,1,5729,8,1,0.65037984
resnet_masked,1,9391,9,8,0.3467385
resnet_masked,1,3916,9,8,0.30703393
resnet_masked,1,131,1,9,0.32574153
resnet_masked,1,4212,1,8,0.52405626
resnet_masked,1,9915,2,8,0.10227385
resnet_masked,1,2781,7,8,0.22456059
resnet_masked,1,5217,1,8,0.5517332
resnet_masked,1,6048,1,8,0.39239758
resnet_masked,1,3581,4,6,0.12147619
resnet_masked,1,9649,5,3,0.104857355
resnet_masked,1,7502,8,9,0.55833316
resnet_masked,1,8284,2,8,0.13632911
resnet_masked,1,448,2,4,0.2575781
resnet_masked,1,157,9,8,0.45771107
resnet_masked,1,4733,6,8,0.13269278
resnet_masked,1,5810,5,3,0.11340007
resnet_masked,1,6579,9,8,0.4763688
resnet_masked,1,5682,5,2,0.069978476
resnet_masked,1,8755,6,8,0.15366265
resnet_masked,1,5952,9,7,0.35256627
resnet_masked,1,9775,9,8,0.3070642
resnet_masked,1,4328,0,8,0.29302564
resnet_masked,1,1338,6,8,0.18174762
resnet_masked,1,8028,1,9,0.24788743
resnet_masked,1,5217,1,8,0.5517332
resnet_masked,1,8873,5,3,0.15657827
resnet_masked,1,1056,3,8,0.076674104
resnet_masked,1,6701,1,9,0.3575951
resnet_masked,1,11,9,8,0.56974065
resnet_masked,1,4832,4,2,0.08261651
resnet_masked,3,5729,8,1,0.91592073
resnet_masked,3,784,7,9,0.53270686
resnet_masked,3,8740,2,7,0.23627673
resnet_masked,3,9391,9,8,0.47712803
resnet_masked,3,3916,9,8,0.53083587
resnet_masked,3,131,1,9,0.4871007
resnet_masked,3,4212,1,8,0.718651
resnet_masked,3,9631,7,8,0.5612361
resnet_masked,3,601,5,3,0.25024033
resnet_masked,3,9915,2,8,0.19186407
resnet_masked,3,9932,8,4,0.6836641
resnet_masked,3,8725,8,9,0.66131717
resnet_masked,3,7814,7,9,0.60934514
resnet_masked,3,2781,7,8,0.38219565
resnet_masked,3,5217,1,8,0.7317456
resnet_masked,3,9224,6,8,0.17437543
resnet_masked,3,6048,1,8,0.75192505
resnet_masked,3,3581,4,6,0.20416594
resnet_masked,3,9649,5,3,0.18278939
resnet_masked,3,4890,1,9,0.5946498
resnet_masked,3,7502,8,9,0.73881745
resnet_masked,3,7350,9,8,0.55283415
