model,pixels,image,true,predicted,cdiff,perturb_time,attack_time,total_time,avg_time_per_attack
resnet,1,6312,2,6,0.83446044,21.237231016159058,21.300631999969482,6438.712845563889,21.462376151879628
resnet,1,7921,4,5,0.9459882,21.570241689682007,21.63443875312805,6438.712845563889,21.462376151879628
resnet,1,3375,4,6,0.80094117,21.304335832595825,21.379133939743042,6438.712845563889,21.462376151879628
resnet,1,3117,0,9,0.2071489,21.925368070602417,21.985268592834473,6438.712845563889,21.462376151879628
resnet,1,4616,4,5,0.88513476,21.14989423751831,21.21965527534485,6438.712845563889,21.462376151879628
resnet,1,8688,8,9,0.9132475,24.02500343322754,24.096832036972046,6438.712845563889,21.462376151879628
resnet,1,7481,4,6,0.844633,25.044867515563965,25.117560386657715,6438.712845563889,21.462376151879628
resnet,1,3826,1,6,0.5153914,23.36615538597107,23.451411962509155,6438.712845563889,21.462376151879628
resnet,1,2720,3,6,0.6817779,24.49133610725403,24.558444023132324,6438.712845563889,21.462376151879628
resnet,1,5554,9,8,0.7583986,22.35038447380066,22.42882513999939,6438.712845563889,21.462376151879628
resnet,1,1409,0,3,0.93409044,23.195366144180298,23.27600336074829,6438.712845563889,21.462376151879628
resnet,1,7538,5,4,0.47544986,22.399909734725952,22.46673345565796,6438.712845563889,21.462376151879628
resnet,1,6249,5,6,0.90805006,21.568848609924316,21.644110202789307,6438.712845563889,21.462376151879628
resnet,1,9847,0,8,0.77756095,22.222153902053833,22.293203592300415,6438.712845563889,21.462376151879628
resnet,1,4149,9,8,0.55524874,23.022741317749023,23.094208478927612,6438.712845563889,21.462376151879628
resnet,1,5773,3,6,0.606926,21.9769229888916,22.05230474472046,6438.712845563889,21.462376151879628
resnet,1,4057,7,5,0.8333786,24.33240795135498,24.39958620071411,6438.712845563889,21.462376151879628
resnet,1,3164,0,2,0.37209073,20.887399435043335,20.95298743247986,6438.712845563889,21.462376151879628
resnet,1,2,8,1,0.61021864,22.471300840377808,22.536813259124756,6438.712845563889,21.462376151879628
resnet,1,6097,5,3,0.80115247,22.015758752822876,22.078927278518677,6438.712845563889,21.462376151879628
resnet,1,5602,4,6,0.9034918,21.23805046081543,21.29759168624878,6438.712845563889,21.462376151879628
resnet,1,9493,0,8,0.7545302,24.36406898498535,24.434401988983154,6438.712845563889,21.462376151879628
resnet,1,9290,4,5,0.8110744,22.158501386642456,22.22427797317505,6438.712845563889,21.462376151879628
resnet,1,8205,2,4,0.7947273,22.34124207496643,22.406758785247803,6438.712845563889,21.462376151879628
resnet,1,5739,2,6,0.93070865,22.083168983459473,22.14959692955017,6438.712845563889,21.462376151879628
