model,pixels,image,true,predicted,cdiff,perturb_time,attack_time,total_time,avg_time_per_attack
resnet,1,2311,7,7,0.0005327463,18.838212966918945,18.838212966918945,7218.053509950638,24.060178366502125
resnet,1,5920,8,8,0.00015312433,18.604200839996338,18.604200839996338,7218.053509950638,24.060178366502125
resnet,1,8793,7,7,1.7881393e-06,0.5372726917266846,0.5372726917266846,7218.053509950638,24.060178366502125
resnet,1,4236,1,1,0.00012475252,18.868571758270264,18.868571758270264,7218.053509950638,24.060178366502125
resnet,1,8888,8,8,7.1525574e-07,0.29105329513549805,0.29105329513549805,7218.053509950638,24.060178366502125
resnet,1,3303,8,8,0.023482323,19.150031089782715,19.150031089782715,7218.053509950638,24.060178366502125
resnet,1,2303,2,2,0.00021398067,18.020806074142456,18.020806074142456,7218.053509950638,24.060178366502125
resnet,1,6198,9,9,0.0,0.29340696334838867,0.29340696334838867,7218.053509950638,24.060178366502125
resnet,1,8940,6,6,0.010464728,19.02886199951172,19.02886199951172,7218.053509950638,24.060178366502125
resnet,1,7035,1,6,0.3110383,19.280030012130737,19.280030012130737,7218.053509950638,24.060178366502125
resnet,1,5312,5,5,0.0035413504,19.933966159820557,19.933966159820557,7218.053509950638,24.060178366502125
resnet,1,7972,5,5,0.0007336736,6.769838333129883,6.769838333129883,7218.053509950638,24.060178366502125
resnet,1,8317,5,3,0.15508932,19.697304010391235,19.697304010391235,7218.053509950638,24.060178366502125
resnet,1,4229,8,8,0.00070488453,11.970130205154419,11.970130205154419,7218.053509950638,24.060178366502125
resnet,1,838,9,9,0.05692023,19.461658477783203,19.461658477783203,7218.053509950638,24.060178366502125
resnet,1,6069,0,0,0.12358618,19.644012928009033,19.644012928009033,7218.053509950638,24.060178366502125
resnet,1,3266,7,7,0.00013417006,16.45833444595337,16.45833444595337,7218.053509950638,24.060178366502125
resnet,1,1086,4,4,0.0,0.3032515048980713,0.3032515048980713,7218.053509950638,24.060178366502125
resnet,1,9781,3,3,0.008070469,19.429399728775024,19.429399728775024,7218.053509950638,24.060178366502125
resnet,1,172,9,8,0.6700008,19.80965828895569,19.80965828895569,7218.053509950638,24.060178366502125
resnet,1,5817,3,3,0.04427564,19.6011004447937,19.6011004447937,7218.053509950638,24.060178366502125
resnet,1,827,6,6,-1.1920929e-07,1.8312633037567139,1.8312633037567139,7218.053509950638,24.060178366502125
resnet,1,4759,0,0,0.00034058094,19.279137134552002,19.279137134552002,7218.053509950638,24.060178366502125
resnet,1,8694,0,0,0.0037696958,19.919260263442993,19.919260263442993,7218.053509950638,24.060178366502125
resnet,1,9669,8,8,0.036248863,19.317260265350342,19.317260265350342,7218.053509950638,24.060178366502125
resnet,1,6621,0,0,0.0013628602,19.52196216583252,19.52196216583252,7218.053509950638,24.060178366502125
resnet,1,8287,8,8,2.69413e-05,13.645980834960938,13.645980834960938,7218.053509950638,24.060178366502125
resnet,1,49,6,6,7.6293945e-06,17.872008085250854,17.872008085250854,7218.053509950638,24.060178366502125
resnet,1,4862,3,3,-0.0050269365,14.893270015716553,14.893270015716553,7218.053509950638,24.060178366502125
resnet,1,5002,8,8,9.894371e-06,20.68916940689087,20.68916940689087,7218.053509950638,24.060178366502125
resnet,1,6613,8,8,0.41175997,19.51960515975952,19.51960515975952,7218.053509950638,24.060178366502125
resnet,1,8004,7,7,0.0145251155,19.86010766029358,19.86010766029358,7218.053509950638,24.060178366502125
resnet,1,7530,2,2,0.012820542,20.007153749465942,20.007153749465942,7218.053509950638,24.060178366502125
resnet,1,2314,3,3,0.00083214045,17.208319664001465,17.208319664001465,7218.053509950638,24.060178366502125
resnet,1,6403,4,4,8.583069e-06,0.5522246360778809,0.5522246360778809,7218.053509950638,24.060178366502125
resnet,1,4806,1,1,0.0025524497,18.494162559509277,18.494162559509277,7218.053509950638,24.060178366502125
resnet,1,5923,0,0,0.21517259,20.076518058776855,20.076518058776855,7218.053509950638,24.060178366502125
resnet,1,7686,9,9,0.0021196604,14.631977558135986,14.631977558135986,7218.053509950638,24.060178366502125
resnet,1,1558,4,4,0.0007658005,20.367393016815186,20.367393016815186,7218.053509950638,24.060178366502125
resnet,1,7440,3,3,0.0095155835,20.259009838104248,20.259009838104248,7218.053509950638,24.060178366502125
resnet,1,5039,6,6,-1.1920929e-07,0.297421932220459,0.297421932220459,7218.053509950638,24.060178366502125
